subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p,group,model
SV119,15,Averaging,mll,55.71468221275361,117.0351664918032,0.9908290603196378,1.0,0.1646697818280961,0.2,4000.0,1.5,Control,mle
SV201,raw,Averaging,mll,70.2646101125493,147.23363458006273,0.9994888090198212,1.0,0.2221999327680202,0.2,4000.0,1.5,Control,mle
SV201,visible,Averaging,mll,70.2646101125493,147.23363458006273,0.9994888090198212,1.0,0.2221999327680202,0.2,4000.0,1.5,Control,mle
SV201,5,Averaging,mll,22.412679528060032,50.431161122416064,0.9997404439847364,1.0,0.222749310797426,0.2,4000.0,1.5,Control,mle
SV201,10,Averaging,mll,22.412679528060032,50.431161122416064,0.9997404439847364,1.0,0.222749310797426,0.2,4000.0,1.5,Control,mle
SV201,15,Averaging,mll,25.429795524935624,56.46539311616725,0.9994311712921414,1.0,0.2246002162641678,0.2,4000.0,1.5,Control,mle
SV202,raw,Averaging,mll,64.97932162855864,136.6630576120814,0.9973627212656516,1.0,0.090170335343804,0.2,4000.0,1.5,Control,mle
SV202,visible,Averaging,mll,64.97932162855864,136.6630576120814,0.9973627212656516,1.0,0.090170335343804,0.2,4000.0,1.5,Control,mle
SV202,5,Averaging,mll,34.1353241002598,73.8764502668156,0.9903945821979216,1.0,0.0901703354413299,0.2,4000.0,1.5,Control,mle
SV202,10,Averaging,mll,23.92805573506288,53.46191353642175,0.9963757690670332,1.0,0.0901703352950173,0.2,4000.0,1.5,Control,mle
SV202,15,Averaging,mll,6.915941793011284,19.437685652318567,0.9995222460607732,1.0,0.0901703352950173,0.2,4000.0,1.5,Control,mle
SV203,raw,Averaging,mll,17.760603596830457,42.22562154862502,0.9924296112163294,1.0,0.3542607622342471,0.2,4000.0,1.5,Control,mle
SV203,visible,Averaging,mll,17.760603596830457,42.22562154862502,0.9924296112163294,1.0,0.3542607622342471,0.2,4000.0,1.5,Control,mle
SV203,5,Averaging,mll,6.4693649599809,18.5445319862578,0.9929842217403876,1.0,0.3408028888080018,0.2,4000.0,1.5,Control,mle
SV203,10,Averaging,mll,5.9202011989393615,17.44620446417472,0.9924296112163696,1.0,0.3542607622342943,0.2,4000.0,1.5,Control,mle
SV203,15,Averaging,mll,5.369817855972181,16.34543777824036,0.9918441550000578,1.0,0.3539190512691389,0.2,4000.0,1.5,Control,mle
SV204,raw,Averaging,mll,121.53903054406244,249.782475443089,0.9785382188125448,1.0,0.3544140868238869,0.2,4000.0,1.5,Control,mle
SV204,visible,Averaging,mll,121.53903054406244,249.782475443089,0.9785382188125448,1.0,0.3544140868238869,0.2,4000.0,1.5,Control,mle
SV204,5,Averaging,mll,22.38193179802376,50.36966566234352,0.9884049179977304,1.0,0.353919051269139,0.2,4000.0,1.5,Control,mle
SV204,10,Averaging,mll,56.40615968212691,118.41812143054982,0.9610236104953992,1.0,0.3539190512691392,0.2,4000.0,1.5,Control,mle
SV204,15,Averaging,mll,42.75807540365338,91.12195287360277,0.9788197250564457,1.0,0.3544119576344823,0.2,4000.0,1.5,Control,mle
SV205,raw,Averaging,mll,71.88829003718436,150.48099442933284,0.9985375287286696,1.0,0.1499455280948581,0.2,4000.0,1.5,Control,mle
SV205,visible,Averaging,mll,71.88829003718436,150.48099442933284,0.9985375287286696,1.0,0.1499455280948581,0.2,4000.0,1.5,Control,mle
SV205,5,Averaging,mll,27.676662760933937,60.959127588163874,0.9967166896850512,1.0,0.1455725653117688,0.2,4000.0,1.5,Control,mle
SV205,10,Averaging,mll,13.307262174851562,32.220326415999125,0.9999998257210898,1.0,0.1515090769849402,0.2,4000.0,1.5,Control,mle
SV205,15,Averaging,mll,30.71524478091808,67.03629162813216,0.9966212307411876,1.0,0.1525677101198562,0.2,4000.0,1.5,Control,mle
SV206,raw,Matching,mll,376.8046574650131,773.7225579949186,0.7864246084946139,0.3165455226452206,0.6369889139038596,0.2,1.4872335871637412,1.5,Control,bci
SV206,visible,Matching,mll,376.8046574650131,773.7225579949186,0.7864246084946139,0.3165455226452206,0.6369889139038596,0.2,1.4872335871637412,1.5,Control,bci
